City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,saint-pierre,-21.3393,55.4781,24.82,83,100,11.32,RE,1678725934
161,oranjemund,-28.55,16.4333,18.37,87,2,3.79,NA,1678725934
162,quelimane,-17.8786,36.8883,22.42,93,100,5.4,MZ,1678725934
163,fokino,42.9836,132.4047,-1.47,82,1,2.08,RU,1678725935
164,avera,33.194,-82.5271,12.17,47,13,4.96,US,1678725935
165,koungheul,13.9833,-14.8,40.73,6,2,1.4,SN,1678725936
166,provideniya,64.3833,-173.3,-14.24,97,96,4.83,RU,1678725936
167,saquena,-4.6667,-73.5167,28.36,61,98,2.06,PE,1678725936
168,lagoa,39.05,-27.9833,15.46,82,58,5.57,PT,1678725937
169,lasa,46.6166,10.7002,11.49,88,86,2.33,IT,1678725937
170,muisne,0.6,-80.0333,27.9,71,96,2.66,EC,1678725938
171,palmerston,-12.486,130.9833,27.99,87,29,2.06,AU,1678725938
172,richards bay,-28.783,32.0377,22.89,88,7,2.45,ZA,1678725939
173,bandarbeyla,9.4942,50.8122,25.87,73,19,4.97,SO,1678725939
174,maua,-23.6678,-46.4614,27.16,84,96,1.63,BR,1678725940
175,moose factory,51.2585,-80.6094,-14.0,66,100,3.09,CA,1678725942
176,palmer,42.1584,-72.3287,6.78,65,100,4.63,US,1678725942
177,kaduna,10.5222,7.4383,33.31,7,100,2.82,NG,1678725942
178,victoria,22.2855,114.1577,19.62,76,100,2.68,HK,1678725911
179,mersin,36.862,34.6509,12.99,94,100,2.71,TR,1678725729
180,puerto escondido,15.85,-97.0667,29.46,79,0,4.12,MX,1678725836
181,naryan-mar,67.6713,53.087,-3.61,86,99,10.79,RU,1678725943
182,chuy,-33.6971,-53.4616,30.28,55,85,6.22,UY,1678725943
183,kasongo-lunda,-6.4667,16.8167,22.34,87,100,0.64,CD,1678725944
184,mayo,38.8876,-76.5119,7.28,84,100,3.09,US,1678725944
185,sabratah,32.7933,12.4885,17.52,68,0,3.69,LY,1678725944
186,ardakan,32.31,54.0175,19.13,43,100,3.61,IR,1678725945
187,novoselitskoye,44.7508,43.4369,5.39,56,100,3.0,RU,1678725945
188,katherine,-14.4667,132.2667,27.18,83,40,2.06,AU,1678725945
189,dhidhdhoo,6.8833,73.1,27.62,77,4,4.35,MV,1678725946
190,kaitangata,-46.2817,169.8464,11.17,74,95,5.17,NZ,1678725946
191,yakeshi,49.2833,120.7333,-13.96,87,100,1.51,CN,1678725946
192,bengkulu,-3.8004,102.2655,24.15,91,100,2.31,ID,1678725947
193,koungou,-12.7336,45.2042,27.84,83,0,3.6,YT,1678725947
194,kyren,51.6828,102.1408,-11.38,88,98,1.85,RU,1678725947
195,north bend,43.4065,-124.2243,9.4,94,100,5.66,US,1678725942
196,geraldton,-28.7667,114.6,21.23,83,50,5.66,AU,1678725948
197,ovalle,-30.5983,-71.2003,27.19,44,0,2.75,CL,1678725879
198,ponnani,10.767,75.9252,27.62,81,0,2.09,IN,1678725948
199,mindelo,16.8901,-24.9804,27.75,42,0,10.29,CV,1678725949
200,marawi,7.9986,124.2928,19.94,98,100,1.55,PH,1678725949
201,lata,40.1629,-8.3327,16.15,63,13,5.19,PT,1678725949
202,zeya,53.75,127.2667,-20.79,93,5,2.2,RU,1678725950
203,kirkuk,35.4681,44.3922,15.68,63,38,4.33,IQ,1678725950
204,jamestown,42.097,-79.2353,1.12,90,100,2.57,US,1678725830
205,kutum,14.2,24.6667,25.08,13,64,1.88,SD,1678725951
206,aksu,41.1231,80.2644,10.49,46,4,2.63,CN,1678725831
207,garowe,8.4054,48.4845,25.47,52,30,9.2,SO,1678725951
208,rafiganj,24.8167,84.65,24.08,24,56,2.61,IN,1678725781
209,colares,38.7992,-9.4469,19.07,72,40,7.2,PT,1678725952
210,severo-kurilsk,50.6789,156.125,-0.88,92,24,6.77,RU,1678725952
211,iqaluit,63.7506,-68.5145,-16.15,84,100,1.03,CA,1678725952
212,fukue,32.6881,128.8419,8.96,50,0,4.25,JP,1678725952
213,komsomolskiy,40.4272,71.7189,10.4,71,21,2.06,UZ,1678725953
214,emborion,40.4833,21.55,8.82,43,21,0.83,GR,1678725953
215,saint pete beach,27.7253,-82.7412,28.39,81,75,5.66,US,1678725841
216,kavieng,-2.5744,150.7967,27.39,77,97,2.7,PG,1678725954
